Company Symbol,Period,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit Before Tax,Tax %,Net Profit,EPS in Rs,PDF URL
KRBL,Sep 2022,"1,228",997,231,19%,11,2,19,222,26%,164,6.99,https://www.screener.in/company/source/quarter/1828/9/2022/
KRBL,Dec 2022,"1,319","1,035",285,22%,21,1,19,285,25%,213,9.05,https://www.screener.in/company/source/quarter/1828/12/2022/
KRBL,Mar 2023,"1,536","1,257",279,18%,18,3,19,275,25%,205,8.73,https://www.screener.in/company/source/quarter/1828/3/2023/
KRBL,Jun 2023,"1,280","1,136",144,11%,43,8,19,160,26%,118,5.01,https://www.screener.in/company/source/quarter/1828/6/2023/
KRBL,Sep 2023,"1,414","1,163",252,18%,27,1,20,257,24%,195,8.27,https://www.screener.in/company/source/quarter/1828/9/2023/
KRBL,Dec 2023,"1,214","1,020",195,16%,33,1,20,207,26%,153,6.70,https://www.screener.in/company/source/quarter/1828/12/2023/
KRBL,Mar 2024,"1,438","1,260",178,12%,28,7,20,179,25%,134,5.85,https://www.screener.in/company/source/quarter/1828/3/2024/
KRBL,Jun 2024,"1,318","1,140",178,14%,9,14,20,153,25%,114,4.98,https://www.screener.in/company/source/quarter/1828/6/2024/
KRBL,Sep 2024,"1,199","1,082",117,10%,22,5,20,114,24%,87,3.78,https://www.screener.in/company/source/quarter/1828/9/2024/
KRBL,Dec 2024,"1,270","1,148",123,10%,36,1,20,138,25%,103,4.49,https://www.screener.in/company/source/quarter/1828/12/2024/
KRBL,Mar 2025,"1,682","1,487",195,12%,8,1,20,182,27%,133,5.79,https://www.screener.in/company/source/quarter/1828/3/2025/
KRBL,Jun 2025,"1,442","1,219",224,16%,11,8,21,207,25%,154,6.74,https://www.screener.in/company/source/quarter/1828/6/2025/
RELIANCE,Dec 2022,"229,409","198,438","30,971",14%,"3,656","4,554","9,726","20,347",24%,"15,512",10.09,https://www.screener.in/company/source/quarter/2726/12/2022/
RELIANCE,Mar 2023,"216,737","181,728","35,009",16%,"3,377","5,201","10,183","23,002",23%,"17,806",11.67,https://www.screener.in/company/source/quarter/2726/3/2023/
RELIANCE,Jun 2023,"212,834","174,478","38,356",18%,"2,996","5,819","11,452","24,081",11%,"21,327",14.26,https://www.screener.in/company/source/quarter/2726/6/2023/
RELIANCE,Sep 2023,"207,559","169,466","38,093",18%,"3,813","5,837","11,775","24,294",25%,"18,258",11.83,https://www.screener.in/company/source/quarter/2726/9/2023/
RELIANCE,Dec 2023,"231,886","190,918","40,968",18%,"3,841","5,731","12,585","26,493",25%,"19,878",12.85,https://www.screener.in/company/source/quarter/2726/12/2023/
RELIANCE,Mar 2024,"225,086","184,430","40,656",18%,"3,869","5,789","12,903","25,833",25%,"19,641",12.76,https://www.screener.in/company/source/quarter/2726/3/2024/
RELIANCE,Jun 2024,"236,533","194,017","42,516",18%,"4,534","5,761","13,569","27,720",24%,"21,243",14.01,https://www.screener.in/company/source/quarter/2726/6/2024/
RELIANCE,Sep 2024,"231,784","193,019","38,765",17%,"3,983","5,918","13,596","23,234",25%,"17,445",11.19,https://www.screener.in/company/source/quarter/2726/9/2024/
RELIANCE,Dec 2024,"231,535","192,477","39,058",17%,"4,876","6,017","12,880","25,037",24%,"19,323",12.24,https://www.screener.in/company/source/quarter/2726/12/2024/
RELIANCE,Mar 2025,"239,986","196,197","43,789",18%,"4,214","6,179","13,181","28,643",24%,"21,930",13.70,https://www.screener.in/company/source/quarter/2726/3/2025/
RELIANCE,Jun 2025,"261,388","217,556","43,832",17%,"4,905","6,155","13,479","29,103",23%,"22,611",14.34,https://www.screener.in/company/source/quarter/2726/6/2025/
RELIANCE,Sep 2025,"243,632","200,727","42,905",18%,"15,119","7,036","13,842","37,146",17%,"30,783",19.95,https://www.screener.in/company/source/quarter/2726/9/2025/
SJVN,Sep 2022,"1,004",176,828,82%,108,144,100,691,12%,609,1.55,https://www.screener.in/company/source/quarter/3095/9/2022/
SJVN,Dec 2022,878,166,713,81%,86,117,105,577,23%,445,1.13,https://www.screener.in/company/source/quarter/3095/12/2022/
SJVN,Mar 2023,552,171,381,69%,177,105,105,347,17%,287,0.73,https://www.screener.in/company/source/quarter/3095/3/2023/
SJVN,Jun 2023,504,326,178,35%,68,49,86,112,85%,17,0.04,https://www.screener.in/company/source/quarter/3095/6/2023/
SJVN,Sep 2023,675,192,483,72%,71,90,101,363,25%,272,0.69,https://www.screener.in/company/source/quarter/3095/9/2023/
SJVN,Dec 2023,878,172,706,80%,89,124,102,569,23%,440,1.12,https://www.screener.in/company/source/quarter/3095/12/2023/
SJVN,Mar 2024,543,175,368,68%,49,122,112,183,24%,139,0.35,https://www.screener.in/company/source/quarter/3095/3/2024/
SJVN,Jun 2024,483,256,227,47%,195,121,242,58,-5%,61,0.16,https://www.screener.in/company/source/quarter/3095/6/2024/
SJVN,Sep 2024,870,224,646,74%,89,143,131,462,23%,357,0.91,https://www.screener.in/company/source/quarter/3095/9/2024/
SJVN,Dec 2024,"1,026",198,828,81%,92,198,133,590,25%,440,1.12,https://www.screener.in/company/source/quarter/3095/12/2024/
SJVN,Mar 2025,671,207,464,69%,91,229,137,189,21%,149,0.38,https://www.screener.in/company/source/quarter/3095/3/2025/
SJVN,Jun 2025,504,264,241,48%,52,159,275,-142,-10%,-128,-0.32,https://www.screener.in/company/source/quarter/3095/6/2025/
MGL,Mar 2023,"1,671","1,415",256,15%,32,2,59,227,24%,172,17.42,https://www.screener.in/company/source/quarter/1273407/3/2023/
MGL,Jun 2023,"1,610","1,221",390,24%,34,2,64,357,25%,269,27.21,https://www.screener.in/company/source/quarter/1273407/6/2023/
MGL,Sep 2023,"1,538","1,017",521,34%,39,3,62,496,26%,368,37.30,https://www.screener.in/company/source/quarter/1273407/9/2023/
MGL,Dec 2023,"1,571","1,092",479,30%,44,2,66,454,25%,338,34.27,https://www.screener.in/company/source/quarter/1273407/12/2023/
MGL,Mar 2024,"1,569","1,120",449,29%,48,3,68,426,26%,317,32.11,https://www.screener.in/company/source/quarter/1273407/3/2024/
MGL,Jun 2024,"1,613","1,218",395,24%,44,6,81,352,26%,261,26.38,https://www.screener.in/company/source/quarter/1273407/6/2024/
MGL,Sep 2024,"1,666","1,229",437,26%,36,3,83,386,25%,289,29.24,https://www.screener.in/company/source/quarter/1273407/9/2024/
MGL,Dec 2024,"1,786","1,373",413,23%,47,3,85,372,24%,284,28.70,https://www.screener.in/company/source/quarter/1273407/12/2024/
MGL,Mar 2025,"1,847","1,523",325,18%,42,3,91,272,19%,221,22.40,https://www.screener.in/company/source/quarter/1273407/3/2025/
MGL,Jun 2025,"1,964","1,570",394,20%,42,4,93,339,27%,247,25.01,https://www.screener.in/company/source/quarter/1273407/6/2025/
SIEMENS,Sep 2022,"4,258","3,846",412,10%,77,4,79,406,26%,301,8.44,https://www.screener.in/company/source/quarter/3061/9/2022/
SIEMENS,Dec 2022,"4,657","4,141",516,11%,373,13,80,796,18%,652,18.32,https://www.screener.in/company/source/quarter/3061/12/2022/
SIEMENS,Mar 2023,"4,015","3,416",599,15%,102,4,76,621,26%,463,12.99,https://www.screener.in/company/source/quarter/3061/3/2023/
SIEMENS,Jun 2023,"4,858","4,237",621,13%,117,10,78,649,27%,472,13.24,https://www.screener.in/company/source/quarter/3061/6/2023/
SIEMENS,Sep 2023,"4,873","4,307",567,12%,132,4,88,607,25%,456,12.79,https://www.screener.in/company/source/quarter/3061/9/2023/
SIEMENS,Dec 2023,"5,808","5,108",700,12%,146,5,79,762,25%,572,16.04,https://www.screener.in/company/source/quarter/3061/12/2023/
