isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector
IN9093R01019,890216,LLOYDSENPP,,LLOYDSENPP,,Lloyds Engineering Works - PP,,LLOYDSENPP,b1be5e9e-e61c-41bf-b21c-12d939f1491e,
IN9139R01028,890214,FUSIONPP,,FUSIONPP,,Fusion Rs.5 PPD UP,,FUSIONPP,0bbb80e6-fe66-4536-abcc-f6416a073375,
IN9175A01010,570004,JISLDVREQS,,JISLDVREQS,,Jain Irrigation DVR,,JISLDVREQS,0a892054-9e21-4dd7-b04a-b910717b27f1,
IN9201F01013,890213,SNLFPP,,,,Shri Niwas Leasing and Fi,,SNLFPP,233d89eb-6526-4c80-840b-e92a8c8256cb,
IN9397D01014,890157,AIRTELPP,,AIRTELPP,,Bharti Airtel - PP,,AIRTELPP,72fbb515-001d-40ad-9118-b5e51b7abdcf,
IN9526B01012,890211,CALSOFTPP,,CALSOFTPP,,California Software - PP,,CALSOFTPP,7de43351-0e7b-47b7-a721-e4ea5d243df1,
IN9564C01011,890197,YARNPP,,,,Yarn Syndicate,,YARNPP,8c3e01e9-7104-4d8b-9f5f-a9c75adfa644,
IN9623B01058,570002,FELDVR,,FELDVR,,Future Enterprises DVR,,FELDVR,25ad3b37-24c6-4c1c-aaf5-c9efcd2a6fde,
IN9624Z01022,890202,SOLARAPP1,,SOLARAPP1,,SOLARA ACTIVE PHARMA SCIE,,SOLARAPP1,30e1a382-58ba-4136-bf2a-501226c9ce71,
IN9628A01026,890209,UPLPP,,UPLPP1,,UPL - RE,,UPLPP,a997b99e-a551-40bd-9a7a-f50285b8a8f8,
IN9653S01018,890215,GARMENTPP,,,,"GARMENT MANTRA LIFESTYLE ",,GARMENTPP,48df43db-9e5d-4fca-865b-572cfe5f2670,
INE001B01026,530813,KRBL,,KRBL,,KRBL,,KRBL,e9e231c0-3138-4762-acc0-ceee9bce9b5c,
INE001E01012,530331,PREMCO,,,,Premco Global,,PREMCO,5007ef07-c10e-42fe-8927-e652c44732a6,
INE001F01019,513303,MDRNSTL,,,,Modern Steels,,MDRNSTL,a8e4fbdf-c76a-4481-a150-1666c3852ca1,
INE001O01029,530251,RISAINTL,,,,Risa International,,RISAINTL,3080e6f8-0ea2-4c35-8317-86e6206d83d2,
INE002A01018,500325,RELIANCE,,RELIANCE,,Reliance Industries,,RELIANCE,c492925c-a4b5-44a3-8c42-02fb609b57d4,
INE002B01016,532344,SOFTSOL,,,,Softsol,,SOFTSOL,dd6fb73a-134c-484b-a46f-18013596c6ac,
INE002E01010,538992,SAPL,,,,SAR Auto Products,,SAPL,0385f92f-8c44-4b99-b053-356e27750fd2,
INE002L01015,533206,SJVN,,SJVN,,SJVN,,SJVN,a635ea0b-f941-4434-9096-1e4cf9905530,
INE002S01010,539957,MGL,,MGL,,Mahanagar Gas,,MGL,6c004d2e-4d20-4812-b57c-c8e3440e74ae,
INE003A01024,500550,SIEMENS,,SIEMENS,,Siemens,,SIEMENS,abf0013b-79ea-4c4d-8f12-b27ec3c11948,
INE003B01014,530259,INTSTOIL,,,,Inter State Oil Carrier,,INTSTOIL,da6e3c3b-82ce-4d12-ae0a-07049bfda635,
INE003F01015,501477,MULLER,,,,Muller & Phipps,,MULLER,043b44f2-1a1c-466d-804f-d9e691ed92e8,
INE004A01022,544021,PROTEAN,,PROTEAN,,Protean e-Gov Technologies (NSDL),,PROTEAN,56817103-c681-47df-8b22-b299121389c6,
INE004C01028,514386,GUJCOTEX,,,,Gujarat Cotex,,GUJCOTEX,1381a843-a803-4c98-ab4f-6787eb959e7e,
INE004E01016,524727,SDL,,,,Span Divergent,,SDL,88308a3b-f0e4-4114-9555-a780134ea778,
INE004Z01011,541973,MACH,,,,Mac Hotels,,MACH,c2e04812-c99e-43fe-8fc1-54b0d8cbaccb,
INE005B01027,532406,AVANTEL,,AVANTEL,,Avantel,,AVANTEL,24b0df82-f6fb-4a2e-94e8-db4013ba1d07,
INE005C01017,531215,RTSPOWR,,,,RTS Power Corporation,,RTSPOWR,43ce223e-32a8-47f7-a678-374ff21077f3,
INE005E01013,531364,EKANSH,,,,Ekansh Concepts,,EKANSH,bdbc60d1-a376-4e4b-941c-65cf0a9ec7d8,
INE005G01026,539559,DDIL,,,,Deep Diamond India,,DDIL,30d8b5cd-24c7-43c9-bd13-dde87af59e64,
INE005I01014,532828,AMDIND,,AMDIND,,Amd Industries,,AMDIND,2e39275c-12e3-496b-a452-991695759eef,
INE006C01015,511728,KZLFIN,,,,KZ Leasing & Finance,,KZLFIN,191bf69b-d3b9-406b-9708-4a7fa22f5673,
INE006F01018,523242,NBFOOT,,,,NB Footwear,,NBFOOT,ba5d68e2-f684-40a9-b9d2-92b9d574c4ba,
INE006I01046,532830,ASTRAL,,ASTRAL,,Astral,,ASTRAL,525662f2-17a3-434b-9922-afae9d355939,
INE006Z01016,205428,ARVEE,,ARVEE,,Arvee Laboratories,,ARVEE,b0aae579-e07d-4a65-92d3-eced5b25086b,
INE007A01025,500092,CRISIL,,CRISIL,,CRISIL,,CRISIL,fb7b3384-4dea-4f96-a860-b83d006f682c,
INE007B01023,532285,GEOJITFSL,,GEOJITFSL,,Geojit Financial Services,,GEOJITFSL,09891e47-9840-4932-9fd8-ea3201eba00f,
INE007C01021,526445,INDRANIB,,,,Indrayani Biotech,,INDRANIB,08a93511-3707-4c70-9daa-e01c47face04,
INE007G01014,526795,MHSGRMS,,,,Mahasagar Travels,,MHSGRMS,6ebccbba-2a72-48d2-9aa3-5d6682b31b37,
INE007N01010,544027,FEDFINA,,FEDFINA,,Fedbank Financial Services,,FEDFINA,63898a77-f985-44b7-a993-390357947a15,
INE008A01015,500116,IDBI,,IDBI,,IDBI Bank,,IDBI,27f98b5a-5835-4dd9-8daa-a13b3b375cc8,
INE008B01013,524288,AIMCOPEST,,,,Aimco Pesticides,,AIMCOPEST,c14e57eb-777d-4cf5-9256-9f2ad13485ce,
INE008C01011,526640,RAYALEMA,,,,Royale Manor Hotels & Industries,,RAYALEMA,e1cb66ad-3573-4d66-9e4f-52e2dc0181dc,
INE008Z01020,210337,SRPL,,SRPL,,Shree Ram Proteins,,SRPL,129c75a9-463e-44c3-b715-1a900518597c,
INE009A01021,500209,INFY,,INFY,,Infosys,,INFY,6af04cbd-3b80-4486-a864-6311f58c07ef,
INE009C01019,514442,SRIKPRIND,,,,Sri KPR Industries,,SRIKPRIND,ac0acffb-a978-4dea-925f-64c9d808eaaa,
INE00C401011,19137,,,MAL,,Mangalam Alloys,,,2f47d697-7346-46a8-9500-65dca6d7de05,
INE00C501018,201064,AMBANIORGO,,AMBANIORGO,,Ambani Orgochem,,AMBANIORGO,849d0f07-7087-4702-bec9-6892ea218de2,
INE00CA01015,542233,TREJHARA,,TREJHARA,,Trejhara Solutions,,TREJHARA,8d43977f-0370-48e3-b2ca-1336d743e9ba,
INE00CE01017,202807,SVLL,,SVLL,,Shree Vasu Logistics,,SVLL,9174e89c-18d6-40eb-81da-ab73f149745e,
INE00D001018,5312,,,REXPIPES,,Rex Pipes & Cables,,,40a9159b-af10-4d3c-a6a0-cbc91b75fb46,
INE00E101023,543653,BIKAJI,,BIKAJI,,Bikaji Foods International,,BIKAJI,c43aface-bd3c-465c-99a3-7354e74044d0,
INE00EM01016,541352,MEGASTAR,,MEGASTAR,,Megastar Foods,,MEGASTAR,5093b2a6-b8a9-41a2-bd4e-60611d16c18d,
INE00ER01015,19703,,,ONDOOR,,On Door Concepts,,,106a4301-e10c-457a-a7a5-f3974ddd0228,
INE00EV01017,543517,HARIOMPIPE,,HARIOMPIPE,,Hariom Pipe Industries,,HARIOMPIPE,511d8459-fb10-43c0-b056-3ed637622328,
INE00F201020,543527,PRUDENT,,PRUDENT,,Prudent Corporate Advisors,,PRUDENT,2698b55d-a2fa-4387-be92-687d1dc814f1,
INE00F301010,200766,UWCSL,,UWCSL,,Ultra Wiring Connect,,UWCSL,75e64ed3-8b9a-4b1c-99d8-6315d5ec821e,
INE00FF01025,543349,ACUTAAS,,ACUTAAS,,Acutaas Chemicals,,ACUTAAS,f7fa9d70-d440-4ebc-8364-acce8ff84022,
INE00FM01013,523186,BAPACK,,,,B&A Packaging,,BAPACK,02b0dcfc-22b1-4f48-a6f5-358869180bd9,
INE00GK01023,544310,YASHHV,,,,Yash Highvoltage,,YASHHV,00324635-14fe-48c7-9cec-95eb6832388c,
INE00H001014,544285,SWIGGY,,SWIGGY,,Swiggy,,SWIGGY,5a2a711c-0431-498b-b4df-9f068f66c917,
INE00HZ01011,526125,BNHOLDINGS,,,,BN Holdings,,BNHOLDINGS,38968346-9aa3-4394-ab23-1eae8ffacdff,
INE00IK01029,210546,OSWALSEEDS,,OSWALSEEDS,,ShreeOswal Seeds And Chemicals,,OSWALSEEDS,5ff1e7f2-a3fc-43ab-9d2a-7ef839f0a4b2,
